id;nombre;departamento_id;dane_id
6;ACEVEDO;17;41006000
15;AIPE;17;41016000
25;ALGECIRAS;17;41020000
7;ACHÍ;5;13006000
8;AGRADO;17;41013000
9;AGUA DE DIOS;13;25001000
10;AGUACHICA;11;20011000
12;AGUADAS;7;17013000
13;AGUAZUL;9;85010000
14;AGUSTÍN CODAZZI;11;20013000
16;ALBÁN;13;25019000
17;ALBÁN;20;52019000
82;BARAYA;17;41078000
26;ALMAGUER;10;19022000
27;ALMEIDA;6;15022000
28;ALPUJARRA;28;73024000
29;ALTAMIRA;17;41026000
32;ALVARADO;28;73026000
31;ALTOS DEL ROSARIO;5;13030000
35;AMBALEMA;28;73030000
47;ANZOÁTEGUI;28;73043000
36;ANAPOIMA;13;25035000
38;ANDALUCÍA;29;76036000
70;ARMERO;28;73055000
73;ATACO;28;73067000
24;ALGARROBO;18;47030000
42;ANOLAIMA;13;25040000
52;ARACATACA;18;47053000
44;ANSERMA;7;17042000
66;ARIGUANÍ;18;47058000
22;ALDANA;20;52022000
50;APULO;13;25599000
51;AQUITANIA;6;15047000
53;ARANZAZU;7;17050000
54;ARATOCA;26;68051000
20;ALBANIA;26;68020000
56;ARAUQUITA;3;81065000
57;ARBELÁEZ;13;25053000
58;ARBOLEDA;20;52051000
4;ACACÍAS;19;50006000
61;ARCABUCO;6;15051000
62;ARENAL;5;13042000
87;BARRANCA DE UPÍA;19;50110000
67;ARJONA;5;13052000
133;CABUYARO;19;50124000
71;ARROYOHONDO;5;13062000
72;ASTREA;11;20032000
21;ALCALÁ;29;76020000
45;ANSERMANUEVO;29;76041000
128;BUGALAGRANDE;29;76113000
49;APÍA;24;66045000
80;BALBOA;24;66075000
79;BALBOA;10;19075000
97;BELÉN DE UMBRÍA;24;66088000
83;BARBACOAS;20;52079000
89;BARRANCAS;15;44078000
85;BARBOSA;26;68077000
86;BARICHARA;26;68079000
88;BARRANCABERMEJA;26;68081000
90;BARRANCO DE LOBA;5;13074000
92;BECERRIL;11;20045000
93;BELALCÁZAR;7;17088000
59;ARBOLEDAS;21;54051000
120;BUCARASICA;21;54109000
100;BELTRÁN;13;25086000
101;BERBEO;6;15090000
64;ARGELIA;29;76054000
103;BETÉITIVA;6;15092000
113;BOLÍVAR;29;76100000
107;BOAVITA;6;15097000
108;BOCHALEMA;21;54099000
11;AGUADA;26;68013000
110;BOJACÁ;13;25099000
104;BETULIA;26;68092000
112;BOLÍVAR;10;19100000
115;BOSCONIA;11;20060000
116;BOYACÁ;6;15104000
114;BOLÍVAR;26;68101000
121;BUENAVENTURA;29;76109000
131;CABRERA;26;68121000
126;BUENOS AIRES;10;19110000
127;BUESACO;20;52110000
95;BELÉN;6;15087000
130;BUSBANZÁ;6;15114000
117;BRICEÑO;6;15106000
135;CACHIPAY;13;25123000
55;ARAUCA;3;81001000
125;BUENAVISTA;6;15109000
94;BELÉN;20;52083000
109;BOGOTÁ. D.C.;33;11001000
5;ACANDÍ;31;27006000
30;ALTO BAUDÓ;31;27025000
75;AYAPEL;12;23068000
122;BUENAVISTA;12;23079000
124;BUENAVISTA;27;70110000
18;ALBANIA;15;44035000
19;ALBANIA;8;18029000
65;ARGELIA;10;19050000
119;BUCARAMANGA;26;68001000
69;ARMENIA;23;63001000
37;ANCUYA;20;52036000
2;ÁBREGO;21;54003000
106;BITUIMA;13;25095000
132;CABRERA;13;25120000
123;BUENAVISTA;23;63111000
1;ABEJORRAL;2;05002000
3;ABRIAQUÍ;2;05004000
23;ALEJANDRÍA;2;05021000
33;AMAGÁ;2;05030000
34;AMALFI;2;05031000
39;ANDES;2;05034000
1102;PUERTO ARICA;1;91536000
1103;BARRANCOMINAS;14;94343000
1104;SAN FELIPE;14;94883000
1105;PAPUNAHUA;32;97777000
1106;PUERTO ALEGRÍA;1;91530000
1107;PUERTO SANTANDER;1;91669000
1108;LA CHORRERA;1;91405000
1109;EL ENCANTO;1;91263000
1110;PACOA;32;97511000
1111;JORDÁN;26;68370000
1112;LA GUADALUPE;14;94885000
1113;PUERTO COLOMBIA;14;94884000
